leagueCaption,matchday,standing
Championship 2017/18,29,"{'rank': 1, 'team': 'Wolves', 'teamId': 76, 'playedGames': 29, 'crestURI': None, 'points': 65, 'goals': 51, 'goalsAgainst': 22, 'goalDifference': 29}"
Championship 2017/18,29,"{'rank': 2, 'team': 'Derby', 'teamId': 342, 'playedGames': 28, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/4/4a/Derby_County_crest.svg', 'points': 53, 'goals': 44, 'goalsAgainst': 23, 'goalDifference': 21}"
Championship 2017/18,29,"{'rank': 3, 'team': 'Cardiff', 'teamId': 715, 'playedGames': 28, 'crestURI': 'http://upload.wikimedia.org/wikipedia/de/c/c6/Cardiff_City_Logo.png', 'points': 51, 'goals': 40, 'goalsAgainst': 25, 'goalDifference': 15}"
Championship 2017/18,29,"{'rank': 4, 'team': '', 'teamId': 387, 'playedGames': 29, 'crestURI': '', 'points': 51, 'goals': 42, 'goalsAgainst': 32, 'goalDifference': 10}"
Championship 2017/18,29,"{'rank': 5, 'team': 'Aston Villa', 'teamId': 58, 'playedGames': 28, 'crestURI': 'http://upload.wikimedia.org/wikipedia/de/9/9f/Aston_Villa_logo.svg', 'points': 50, 'goals': 42, 'goalsAgainst': 25, 'goalDifference': 17}"
Championship 2017/18,29,"{'rank': 6, 'team': 'Fulham', 'teamId': 63, 'playedGames': 29, 'crestURI': 'http://upload.wikimedia.org/wikipedia/de/a/a8/Fulham_fc.svg', 'points': 48, 'goals': 49, 'goalsAgainst': 35, 'goalDifference': 14}"
Championship 2017/18,29,"{'rank': 7, 'team': 'Sheffield', 'teamId': 356, 'playedGames': 28, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/9/9c/Sheffield_United_FC_logo.svg', 'points': 46, 'goals': 42, 'goalsAgainst': 32, 'goalDifference': 10}"
Championship 2017/18,29,"{'rank': 8, 'team': 'Middlesbrough', 'teamId': 343, 'playedGames': 28, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/2/2c/Middlesbrough_FC_crest.svg', 'points': 44, 'goals': 38, 'goalsAgainst': 27, 'goalDifference': 11}"
Championship 2017/18,29,"{'rank': 9, 'team': None, 'teamId': 341, 'playedGames': 28, 'crestURI': None, 'points': 43, 'goals': 40, 'goalsAgainst': 33, 'goalDifference': 7}"
Championship 2017/18,29,"{'rank': 10, 'team': None, 'teamId': 402, 'playedGames': 29, 'crestURI': None, 'points': 43, 'goals': 42, 'goalsAgainst': 36, 'goalDifference': 6}"
Championship 2017/18,29,"{'rank': 11, 'team': 'Preston', 'teamId': 1081, 'playedGames': 28, 'crestURI': None, 'points': 42, 'goals': 32, 'goalsAgainst': 28, 'goalDifference': 4}"
Championship 2017/18,29,"{'rank': 12, 'team': 'Ipswich', 'teamId': 349, 'playedGames': 29, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/4/43/Ipswich_Town.svg', 'points': 40, 'goals': 41, 'goalsAgainst': 41, 'goalDifference': 0}"
Championship 2017/18,29,"{'rank': 13, 'team': 'Norwich', 'teamId': 68, 'playedGames': 29, 'crestURI': 'http://upload.wikimedia.org/wikipedia/de/8/8c/Norwich_City.svg', 'points': 40, 'goals': 29, 'goalsAgainst': 33, 'goalDifference': -4}"
Championship 2017/18,29,"{'rank': 14, 'team': 'Nottingham', 'teamId': 351, 'playedGames': 28, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/d/d2/Nottingham_Forest_logo.svg', 'points': 35, 'goals': 35, 'goalsAgainst': 43, 'goalDifference': -8}"
Championship 2017/18,29,"{'rank': 15, 'team': 'Millwall', 'teamId': 384, 'playedGames': 28, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/7/71/Millwall_FC_logo.png', 'points': 34, 'goals': 33, 'goalsAgainst': 33, 'goalDifference': 0}"
Championship 2017/18,29,"{'rank': 16, 'team': 'QPR', 'teamId': 69, 'playedGames': 29, 'crestURI': 'http://upload.wikimedia.org/wikipedia/de/d/d4/Queens_Park_Rangers.svg', 'points': 33, 'goals': 31, 'goalsAgainst': 42, 'goalDifference': -11}"
Championship 2017/18,29,"{'rank': 17, 'team': 'Sheffield', 'teamId': 345, 'playedGames': 28, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/8/86/Sheffield_Wednesday_crest_from_2016.jpg', 'points': 32, 'goals': 30, 'goalsAgainst': 34, 'goalDifference': -4}"
Championship 2017/18,29,"{'rank': 18, 'team': None, 'teamId': 355, 'playedGames': 28, 'crestURI': None, 'points': 29, 'goals': 30, 'goalsAgainst': 36, 'goalDifference': -6}"
Championship 2017/18,29,"{'rank': 19, 'team': 'Barnsley', 'teamId': 357, 'playedGames': 29, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/c/c9/Barnsley_FC.svg', 'points': 27, 'goals': 29, 'goalsAgainst': 43, 'goalDifference': -14}"
Championship 2017/18,29,"{'rank': 20, 'team': None, 'teamId': 60, 'playedGames': 28, 'crestURI': None, 'points': 26, 'goals': 26, 'goalsAgainst': 46, 'goalDifference': -20}"
Championship 2017/18,29,"{'rank': 21, 'team': 'Hull', 'teamId': 322, 'playedGames': 28, 'crestURI': 'https://en.wikipedia.org/wiki/Hull_City_A.F.C.#/media/File:Hull_City_Crest_2014.svg', 'points': 25, 'goals': 39, 'goalsAgainst': 45, 'goalDifference': -6}"
Championship 2017/18,29,"{'rank': 22, 'team': 'Sunderland', 'teamId': 71, 'playedGames': 28, 'crestURI': 'http://upload.wikimedia.org/wikipedia/de/6/60/AFC_Sunderland.svg', 'points': 25, 'goals': 30, 'goalsAgainst': 47, 'goalDifference': -17}"
Championship 2017/18,29,"{'rank': 23, 'team': 'Birmingham', 'teamId': 332, 'playedGames': 28, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/6/68/Birmingham_City_FC_logo.svg', 'points': 24, 'goals': 16, 'goalsAgainst': 39, 'goalDifference': -23}"
Championship 2017/18,29,"{'rank': 24, 'team': 'Burton', 'teamId': 1072, 'playedGames': 28, 'crestURI': 'https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Burton_Albion_FC_logo.svg/847px-Burton_Albion_FC_logo.svg.png', 'points': 24, 'goals': 21, 'goalsAgainst': 52, 'goalDifference': -31}"
